Longitude,Latitude,Altitude,Timestamp
34.2605238,108.6523755,396.936,0
34.2605238,108.6523754,396.934,0.0999999999767169
34.2605238,108.6523755,396.939,0.200000000011642
34.2605238,108.6523754,396.937,0.299999999988358
34.2605238,108.6523754,396.935,0.399999999965075
34.2605238,108.6523754,396.933,0.5
34.2605238,108.6523754,396.93,0.599999999976717
34.2605238,108.6523754,396.928,0.700000000011642
34.2605238,108.6523754,396.925,0.799999999988358
34.2605238,108.6523754,396.923,0.899999999965075
34.2605238,108.6523753,396.919,1
34.2605238,108.6523753,396.916,1.09999999997672
34.2605238,108.6523753,396.914,1.20000000001164
34.2605238,108.6523753,396.913,1.29999999998836
34.2605238,108.6523753,396.914,1.39999999996508
34.2605238,108.6523753,396.914,1.5
34.2605237,108.6523753,396.918,1.59999999997672
34.2605237,108.6523753,396.919,1.70000000001164
34.2605237,108.6523753,396.923,1.79999999998836
34.2605237,108.6523752,396.924,1.89999999996508
34.2605237,108.6523752,396.924,2
34.2605237,108.6523752,396.924,2.09999999997672
34.2605237,108.6523752,396.922,2.20000000001164
34.2605237,108.6523752,396.921,2.29999999998836
34.2605237,108.6523752,396.918,2.39999999996508
34.2605237,108.6523752,396.918,2.5
34.2605237,108.6523752,396.914,2.59999999997672
34.2605236,108.6523753,396.914,2.70000000001164
34.2605235,108.6523754,396.911,2.79999999998836
34.2605233,108.6523755,396.912,2.89999999996508
34.260523,108.6523757,396.912,3
34.2605226,108.652376,396.913,3.09999999997672
34.2605222,108.6523764,396.912,3.20000000001164
34.2605216,108.6523768,396.911,3.29999999998836
34.2605209,108.6523774,396.908,3.39999999996508
34.26052,108.652378,396.906,3.5
34.2605191,108.6523787,396.902,3.59999999997672
34.2605181,108.6523794,396.899,3.70000000001164
34.260517,108.6523803,396.89,3.79999999998836
34.2605157,108.6523812,396.882,3.89999999996508
34.2605144,108.6523821,396.867,4
34.260513,108.6523832,396.852,4.09999999997672
34.2605115,108.6523843,396.837,4.20000000001164
34.2605099,108.6523855,396.829,4.29999999998836
34.2605083,108.6523869,396.817,4.39999999996508
34.2605066,108.6523883,396.807,4.5
34.2605049,108.6523897,396.79,4.59999999997672
34.2605032,108.6523912,396.774,4.70000000001164
34.2605014,108.6523928,396.752,4.79999999998836
34.2604996,108.6523944,396.73,4.89999999996508
34.2604977,108.6523961,396.7,5
34.2604958,108.6523978,396.674,5.09999999997672
34.2604938,108.6523997,396.646,5.20000000001164
34.2604918,108.6524015,396.618,5.29999999998836
34.2604897,108.6524035,396.588,5.39999999996508
34.2604876,108.6524056,396.558,5.5
34.2604855,108.6524077,396.522,5.59999999997672
34.2604834,108.6524099,396.489,5.70000000001164
34.2604812,108.6524121,396.464,5.79999999998836
34.2604791,108.6524144,396.433,5.89999999996508
34.2604769,108.6524167,396.404,6
34.2604747,108.652419,396.382,6.09999999997672
34.2604726,108.6524213,396.367,6.20000000001164
34.2604704,108.6524236,396.354,6.29999999998836
34.2604681,108.6524259,396.336,6.39999999996508
34.2604658,108.6524283,396.317,6.5
34.2604635,108.6524306,396.292,6.59999999997672
34.2604611,108.652433,396.273,6.70000000001164
34.2604586,108.6524354,396.253,6.79999999998836
34.2604562,108.6524378,396.238,6.89999999996508
34.2604536,108.6524402,396.225,7
34.260451,108.6524426,396.212,7.09999999997672
34.2604484,108.6524451,396.199,7.20000000001164
34.2604457,108.6524475,396.186,7.29999999998836
34.260443,108.65245,396.171,7.39999999996508
34.2604402,108.6524525,396.159,7.5
34.2604374,108.6524551,396.145,7.59999999997672
34.2604345,108.6524578,396.138,7.70000000001164
34.2604316,108.6524605,396.127,7.79999999998836
34.2604286,108.6524632,396.117,7.89999999996508
34.2604255,108.652466,396.104,8
34.2604224,108.6524688,396.099,8.09999999997672
34.2604193,108.6524716,396.093,8.20000000001164
34.2604161,108.6524745,396.087,8.29999999998836
34.2604129,108.6524773,396.077,8.39999999996508
34.2604097,108.6524801,396.073,8.5
34.2604065,108.6524829,396.071,8.59999999997672
34.2604033,108.6524857,396.07,8.70000000001164
34.2604001,108.6524885,396.07,8.79999999998836
34.2603968,108.6524913,396.068,8.89999999996508
34.2603935,108.6524941,396.066,9
34.2603902,108.6524969,396.063,9.09999999997672
34.2603869,108.6524997,396.065,9.20000000001164
34.2603836,108.6525025,396.063,9.29999999998836
34.2603802,108.6525053,396.066,9.39999999996508
34.2603768,108.6525082,396.064,9.5
34.2603734,108.652511,396.066,9.59999999997672
34.2603699,108.6525138,396.067,9.70000000001164
34.2603665,108.6525166,396.068,9.79999999998836
34.260363,108.6525194,396.071,9.89999999996508
34.2603595,108.6525221,396.073,10
34.260356,108.6525249,396.076,10.0999999999767
34.2603525,108.6525277,396.079,10.2000000000116
34.260349,108.6525305,396.083,10.2999999999884
34.2603455,108.6525333,396.084,10.3999999999651
34.260342,108.652536,396.086,10.5
34.2603384,108.6525388,396.088,10.5999999999767
34.2603349,108.6525415,396.092,10.7000000000116
34.2603313,108.6525443,396.094,10.7999999999884
34.2603277,108.6525471,396.099,10.8999999999651
34.2603241,108.65255,396.096,11
34.2603206,108.6525528,396.097,11.0999999999767
34.260317,108.6525557,396.097,11.2000000000116
34.2603134,108.6525586,396.098,11.2999999999884
34.2603098,108.6525615,396.099,11.3999999999651
34.2603062,108.6525644,396.097,11.5
34.2603027,108.6525672,396.068,11.5999999999767
34.2602991,108.6525701,396.061,11.7000000000116
34.2602955,108.6525729,396.033,11.7999999999884
34.260292,108.6525758,396.028,11.8999999999651
34.2602884,108.6525786,395.998,12
