Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Timestamp
-0.3937,-1.0804,-1.6114,0.014,0.0073,0.9781,8.29999999998836
-1.0437,1.1719,-2.1973,0.0223,-0.0284,0.9891,8.39999999996508
0.3754,0.4212,-2.2065,-0.0034,-0.0125,1.0279,8.5
-0.3479,-0.2106,-1.7304,-0.0021,-0.0119,0.9964,8.59999999997672
0.5036,0.0824,-1.9593,-0.0031,0.0131,0.9748,8.70000000001164
-0.0549,-0.4669,-1.8677,0.0012,0.0455,1.0007,8.79999999998836
-0.4028,0.119,-1.6022,0.0003,0.0235,1.0157,8.89999999996508
-1.5931,1.7579,-1.7304,-0.0031,-0.0003,1.0034,9
0.0732,-0.3296,-2.1241,-0.0171,-0.0009,1.0117,9.09999999997672
0.6043,-0.8332,-1.7762,-0.0027,0.0089,0.9738,9.20000000001164
-0.1007,0.6958,-1.6663,0.0043,0.0113,1.0031,9.29999999998836
1.062,-0.3388,-1.8769,-0.0012,0.018,0.9735,9.39999999996508
1.0712,-0.7508,-1.5931,-0.0027,0.0201,1.0535,9.5
-1.7304,-0.3754,-1.6572,0.0061,0.007,0.9784,9.59999999997672
1.1261,-0.0275,-1.8952,0.0012,0.0073,1.0276,9.70000000001164
0.1007,-0.2197,-1.41,0.0046,0.011,1.0062,9.79999999998836
-0.5585,0.6867,-1.6938,-0.0061,0.0024,1.0211,9.89999999996508
1.1811,-0.7599,-1.8769,-0.0052,0.011,0.9769,10
0.3021,-1.355,-1.5015,0.015,0.0122,0.9964,10.0999999999767
-0.4028,0.8332,-1.4649,0.0134,0.018,0.9766,10.2000000000116
0.9796,0.3296,-1.4374,-0.0046,0.0208,1.0254,10.2999999999884
-0.4395,-0.6592,-1.2085,0.0128,0.0034,0.9931,10.3999999999651
-0.2014,1.236,-0.7782,-0.0012,0.0119,1.0199,10.5
-0.6226,0.6867,-0.4212,-0.018,0.0031,0.9732,10.5999999999767
-0.0092,-0.9247,0.2655,-0.0146,0.0146,1.0062,10.7000000000116
-1.5198,0.5493,0.7233,-0.004,0.0229,0.9977,10.7999999999884
-0.3479,0.586,0.9339,-0.0375,0.0073,1.0129,10.8999999999651
0.2472,-1.1994,1.8403,-0.0107,0.0162,0.9824,11
-0.7324,0.8881,1.5473,-0.0244,0.0061,0.9799,11.0999999999767
0.9522,-1.3459,1.2909,-0.0397,0.0168,0.9705,11.2000000000116
0.0916,-1.7029,1.4008,-0.0079,0.0055,1.0297,11.2999999999884
-1.2635,-0.4669,0.3479,-0.014,-0.007,0.9861,11.3999999999651
0.5585,-1.6846,0,-0.0058,-0.0153,0.997,11.5
-1.0987,-0.7782,-0.3571,0.0177,-0.0232,0.997,11.5999999999767
0.238,0.5585,-0.9796,0.0037,-0.025,1.0245,11.7000000000116
1.1261,-1.1536,-1.0163,-0.0162,-0.0171,0.9757,11.7999999999884
0.7691,-1.1994,-0.7782,0.0369,-0.0101,0.965,11.8999999999651
-0.2472,2.1516,-1.1902,0.0095,-0.018,1.0269,12
0.8332,-0.4486,-1.2635,-0.0131,-0.011,1.0309,12.0999999999767
-0.8148,-0.7782,-1.062,0.0293,-0.0192,0.9742,12.2000000000116
-0.1465,1.0437,-1.6022,0.0095,-0.0162,1.012,12.2999999999884
1.062,0.1282,-1.117,0.0064,-0.0067,1.0028,12.3999999999651
-0.1007,1.3367,-0.9156,0.0217,-0.025,0.968,12.5
-0.1099,-0.1099,-1.3184,-0.0183,-0.0089,1.0114,12.5999999999767
0.4944,-1.822,-0.943,0.0049,-0.0104,1.0059,12.7000000000116
-0.8972,0.8423,-0.7874,0.0391,-0.0238,0.9922,12.7999999999884
-0.238,0.9796,-1.0987,-0.0031,-0.0208,0.9915,12.8999999999651
0.3662,-1.41,-0.9339,-0.0116,-0.0107,0.9851,13
-0.4944,0.5951,-0.9796,0.0284,-0.0174,0.9729,13.0999999999767
-0.174,0.3113,-1.1719,0.0021,-0.0192,0.9732,13.2000000000116
-0.1099,-0.4944,-0.9888,-0.0073,-0.0037,1.0135,13.2999999999884
-1.3092,0.1556,-1.1261,0.0247,-0.0333,0.954,13.3999999999651
1.355,1.236,-1.1353,-0.0067,-0.0092,1.016,13.5
-0.2655,-1.2452,-0.998,-0.0113,-0.0204,1.0022,13.5999999999767
0.238,0.531,-1.0163,0.0302,-0.0348,0.9751,13.7000000000116
0.9247,1.5015,-0.7782,-0.0031,-0.018,1.0376,13.7999999999884
-0.8606,-0.3845,-0.8972,-0.0085,-0.0195,0.9925,13.8999999999651
-0.2197,-0.5585,-0.7141,0.0089,-0.014,0.9626,14
0.1007,0.174,-0.6134,0.0006,-0.0137,1.0315,14.0999999999767
-1.1902,-0.5585,-0.6958,-0.0116,-0.0168,0.9793,14.2000000000116
1.1902,1.5107,-0.0366,0.0223,-0.0024,0.9842,14.2999999999884
0.293,1.5656,0.3204,-0.0433,-0.0159,0.9986,14.3999999999651
0.4578,-2.4354,0.0275,-0.0317,-0.015,1.0236,14.5
-0.4761,-0.4578,0.4212,0.0259,0.0058,0.9949,14.5999999999767
0.0458,3.1037,1.062,0.0073,-0.0052,0.9937,14.7000000000116
